scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006700_62	salivary gland	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11	#F09598		
E100006698_3	salivary gland	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11	#F09598		
E100006697_45	salivary gland	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11	#F09598		
E100006701_57	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598	caught a bit of thyroid gland	discuss
E100006701_114	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598		
E100006700_87	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598		
E100006699_14	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598	caught a bit of lung	discuss
E100006695_87	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598		
E100006695_114	esophagus	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12	#F09598		
E100006702_90	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006702_68	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006701_71	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006700_71	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006699_71	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006697_80	tongue	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174	#F09598		
E100006701_44	cecum	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_78	cecum	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006699_79	cecum	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_51	cecum	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
