scilifelab_id	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order
E100006702_77	kidney (medulla)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006702_14	kidney (medulla)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006698_83	kidney (medulla)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006702_69	urinary bladder	urinary bladder	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	32
E100006702_42	urinary bladder	urinary bladder	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	32
E100006701_1	urinary bladder	urinary bladder	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	32
E100006695_82	urinary bladder	urinary bladder	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	32
E100006700_77	bulbourethral gland	male glands	Male reproductive system	Male tissues	#95D4F5	10	0
E100006700_94	penis	penis	Male reproductive system	Male tissues	#95D4F5	10	0
E100006700_57	penis	penis	Male reproductive system	Male tissues	#95D4F5	10	0
E100006700_69	testis	testis	Male reproductive system	Male tissues	#95D4F5	10	40
E100006697_53	testis	testis	Male reproductive system	Male tissues	#95D4F5	10	40
E100006700_86	epididymis	epididymis	Male reproductive system	Male tissues	#95D4F5	10	42
E100006699_86	epididymis	epididymis	Male reproductive system	Male tissues	#95D4F5	10	42
E100006697_33	epididymis	epididymis	Male reproductive system	Male tissues	#95D4F5	10	42
E100006702_63	prostate	male glands	Male reproductive system	Male tissues	#95D4F5	10	43
E100006702_62	prostate	male glands	Male reproductive system	Male tissues	#95D4F5	10	43
E100006699_46	prostate	male glands	Male reproductive system	Male tissues	#95D4F5	10	43
E100006698_79	prostate	male glands	Male reproductive system	Male tissues	#95D4F5	10	43
E100006697_52	prostate	male glands	Male reproductive system	Male tissues	#95D4F5	10	43
E100006700_96	seminal vesicle	male glands	Male reproductive system	Male tissues	#95D4F5	10	44
E100006697_35	seminal vesicle	male glands	Male reproductive system	Male tissues	#95D4F5	10	44
E100006703_46	male preputial gland	male glands	Male reproductive system	Male tissues	#95D4F5	10	127
E100006702_59	male preputial gland	male glands	Male reproductive system	Male tissues	#95D4F5	10	127
E100006703_14	ductus deferens	ductus deferens	Male reproductive system	Male tissues	#95D4F5	10	173
E100006701_14	ductus deferens	ductus deferens	Male reproductive system	Male tissues	#95D4F5	10	173
E100006700_81	ductus deferens	ductus deferens	Male reproductive system	Male tissues	#95D4F5	10	173
E100006701_26	vagina	vagina	Breast and female reproductive system	Female tissues	#F8BDD7	11	1
E100006701_2	vagina	vagina	Breast and female reproductive system	Female tissues	#F8BDD7	11	1
E100006702_96	breast	breast	Breast and female reproductive system	Female tissues	#F8BDD7	11	50
E100006700_127	breast	breast	Breast and female reproductive system	Female tissues	#F8BDD7	11	50
E100006695_96	breast	breast	Breast and female reproductive system	Female tissues	#F8BDD7	11	50
E100006703_121	cervix	cervix	Breast and female reproductive system	Female tissues	#F8BDD7	11	53
E100006701_45	cervix	cervix	Breast and female reproductive system	Female tissues	#F8BDD7	11	53
E100006702_74	endometrium 1	endometrium	Breast and female reproductive system	Female tissues	#F8BDD7	11	55
E100006699_95	endometrium 1	endometrium	Breast and female reproductive system	Female tissues	#F8BDD7	11	55
E100006702_75	fallopian tube	fallopian tube	Breast and female reproductive system	Female tissues	#F8BDD7	11	58
E100006699_96	fallopian tube	fallopian tube	Breast and female reproductive system	Female tissues	#F8BDD7	11	58
E100006703_101	ovary	ovary	Breast and female reproductive system	Female tissues	#F8BDD7	11	59
E100006702_83	ovary	ovary	Breast and female reproductive system	Female tissues	#F8BDD7	11	59
E100006702_13	clitoris	clitoris	Breast and female reproductive system	Female tissues	#F8BDD7	11	121
E100006701_13	clitoris	clitoris	Breast and female reproductive system	Female tissues	#F8BDD7	11	121
E100006695_84	clitoris	clitoris	Breast and female reproductive system	Female tissues	#F8BDD7	11	121
E100006703_4	female preputial gland	female glands	Breast and female reproductive system	Female tissues	#F8BDD7	11	124
E100006702_4	female preputial gland	female glands	Breast and female reproductive system	Female tissues	#F8BDD7	11	124
E100006701_4	female preputial gland	female glands	Breast and female reproductive system	Female tissues	#F8BDD7	11	124
E100006703_104	uterus	uterus	Breast and female reproductive system	Female tissues	#F8BDD7	11	136
E100006702_91	uterus	uterus	Breast and female reproductive system	Female tissues	#F8BDD7	11	136
E100006700_104	uterus	uterus	Breast and female reproductive system	Female tissues	#F8BDD7	11	136
E100006698_104	uterus	uterus	Breast and female reproductive system	Female tissues	#F8BDD7	11	136
E100006703_99	heart atrium	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006703_42	heart atrium	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006703_32	heart atrium	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006701_32	heart atrium	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006699_64	heart atrium	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006703_43	heart wall	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006701_64	heart wall	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006699_65	heart wall	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006698_2	heart wall	heart	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006703_102	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006702_86	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006700_99	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006699_57	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006697_99	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006695_102	smooth muscle (intestine)	smooth muscle	Muscle tissues	Muscle tissues	#B38C6D	12	0
E100006701_69	skeletal muscle	skeletal muscle	Muscle tissues	Muscle tissues	#B38C6D	12	122
E100006701_63	skeletal muscle	skeletal muscle	Muscle tissues	Muscle tissues	#B38C6D	12	122
E100006701_49	skeletal muscle	skeletal muscle	Muscle tissues	Muscle tissues	#B38C6D	12	122
E100006700_97	skeletal muscle	skeletal muscle	Muscle tissues	Muscle tissues	#B38C6D	12	122
